Sl.No,Name of the station,District,Taluk,Revenue Village,Latitude,Longitude,Started on
200, Madurai north,Madurai,Madurai north,North Madurai,9.93333,78.1167,21-11-2019
201, Periyapatti,Madurai,Madurai north,Periyapatti,10.0311,78.1586,07-11-2022
202, TALLAKULAM,Madurai,Madurai north,Tallakulam,9.9333,78.1322,21-11-2019
203, Madurai airport,Madurai,Madurai south,Avaniyapuram,9.8382,78.0895,21-11-2019
204, VIRAGANUR,Madurai,Madurai south,Virathanur,9.90121,78.1608,21-11-2019
205, Melur,Madurai,Melur,Melur Town,10.0313,78.3382,21-11-2019
206, THANIAMANGALAM,Madurai,Melur,Thaniyamangalam,9.99551,78.3909,21-11-2019
207, Pulipatti,Madurai,Melur,Vellalur,10.0856,78.2907,21-11-2019
208, Elumalai,Madurai,Peraiyur,Elumalai,9.85954,77.6968,07-11-2022
209, Peraiyur,Madurai,Peraiyur,Peraiyur Bit 1,9.73833,77.7899,21-11-2019
210, TIRUMANGALAM,Madurai,Tirumangalam,Thirumangalam,9.83186,77.9861,21-11-2019
211, Kuppanampatti,Madurai,Usilampatti,Sinthupatti,9.9494,77.8464,21-11-2019
212, USILAMPATTI,Madurai,Usilampatti,Usilampatti,9.96592,77.7864,21-11-2019
213, Sathiar,Madurai,Vadipatti,Konappatti,10.1127,78.0787,21-11-2019
214, Sholavandan,Madurai,Vadipatti,Sholavandan,10.0225,77.9631,21-11-2019
215, Taluk Office ANDIPATTI,Madurai,Vadipatti,T.Andipatti,10.0622,77.9846,21-11-2019
216, VADIPATTI,Madurai,Vadipatti,Thathampatti,10.0711,77.9769,21-11-2019
217, Mettupatti,Madurai,Vadipatti,Vavida Maruthur,10.1118,78.0449,21-11-2019
218, Manalmedu,Mayiladuthurai,Mayiladuthurai,Manalmedu,11.2005,79.6014,01-06-1991
219, Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,11.0975,79.6488,01-06-1991
220, Sirkali,Mayiladuthurai,Sirkazhi,Sirkali,11.2466,79.7384,01-06-1991
221, Anaikaranchatram (Kollidam),Mayiladuthurai,Sirkazhi,Thirumailadi,11.3292,79.7207,01-06-1991
222, Tharangambadi,Mayiladuthurai,Tharangambadi,Erukkattencheri,11.0252,79.8404,01-06-1991
223, Sembanarkoil (PWD),Mayiladuthurai,Tharangambadi,Melaiyur,11.1125,79.7395,07-11-2022
224, Thirupoondi,Nagapattinam,Kilvelur,Thirupoondi west,10.6231,79.8125,01-06-1991
225, Velankanni,Nagapattinam,Kilvelur,Veilankanni,10.6841,79.8394,20-12-2021
226, Nagapattinam,Nagapattinam,Nagapattinam,Nagapattinam village,10.7667,79.85,01-08-1989
227, Thirukuvalai,Nagapattinam,Thirukkuvalai,Thirukuvalai,10.631,79.7173,20-11-2021
228, Kodiayakarai,Nagapattinam,Vedaranyam,Kodiayakarai,10.2866,79.8229,20-11-2021
229, Thalanayar,Nagapattinam,Vedaranyam,Thalanayar 1 st sethi,10.5477,79.7654,01-06-1991
230, Vedaranyam,Nagapattinam,Vedaranyam,Vedaranyam Part - 1,10.3667,79.85,01-06-1991
231," PWD Office, Kumarapalayam",Namakkal,Kumarapalayam,Kumarapalayam Amani,11.4401,77.6887,01-01-1995
232, Mohanur,Namakkal,Mohanur,Mohanur,11.0605,78.1379,01-01-1980
233, Namakkal,Namakkal,Namakkal,Namakkal,11.2132,78.1654,01-01-1986
234, Puduchatram,Namakkal,Namakkal,Navani,11.4026,78.1782,01-01-2004
235, NKL Collecterate,Namakkal,Namakkal,Thummankurichi,11.2493,78.1283,09-02-2018
236, Paramathi velur,Namakkal,Paramathi velur,PARAMATHI,11.0865,78.0044,01-01-2000
237, Mangalapuram,Namakkal,Rasipuram,Mangalapuram,11.5648,78.3762,01-01-1995
238, Rasipuram,Namakkal,Rasipuram,Rasipuram,11.4577,78.1944,01-01-1987
239, Erumapatti,Namakkal,Sendamangalam,Erumapatti,11.1528,78.2929,01-01-1994
240, Sendamangalam,Namakkal,Sendamangalam,Sendamangalam,11.2656,78.234,01-01-1996
241, Tiruchengode,Namakkal,Tiruchengode,Tiruchengode,11.3833,77.9,01-01-1999
242, Chettikulam,Perambalur,Alathur,CHETTIKULAM,11.1328,78.7735,01-01-1999
243, Padalur,Perambalur,Alathur,PADALUR(W),11.0917,78.8241,01-01-1999
244, Agaram seegoor,Perambalur,Kunnam,AGARAMSEGOOR,11.3925,79.0349,12-10-2018
245, Labbaikudikadu,Perambalur,Kunnam,KELAPULIYUR(N),11.3951,79.119,12-10-2018
246, Puthu vettakudi,Perambalur,Kunnam,PUDUVETTAKUDI,11.2618,79.0887,12-10-2018
247, Perambalur,Perambalur,Perambalur,PERAMBALUR(N),11.2333,78.8667,01-01-1999
248, Eraiyur,Perambalur,Veppanthattai,ERAIYUR,11.3574,78.9747,12-10-2018
249, THALUTHALAI,Perambalur,Veppanthattai,THALUTHALAI,11.3747,78.7463,01-01-1999
250, V.KALATHUR,Perambalur,Veppanthattai,V.KALATHUR,11.4042,78.9276,12-10-2018
251, Krishnapuram,Perambalur,Veppanthattai,VENGALAM(E),11.3767,78.7915,12-10-2018
252, VEPPANTHATTAI,Perambalur,Veppanthattai,VEPPANTHATTAI (S),11.3389,78.8234,01-01-1999
253, Alangudi,Pudukkottai,Alangudi,ALANGADU,10.3644,78.9808,14-01-1974
254, Aranthangi,Pudukkottai,Aranthangi,ARANTHANGI,10.1723,78.9982,04-07-1973
255, Ayinkudi,Pudukkottai,Aranthangi,AYINKUDI,10.2202,79.0963,04-07-1973
256, Nagudi,Pudukkottai,Aranthangi,NAGUDI,10.1515,79.1099,04-07-1973
257, Avudaiyarkovil,Pudukkottai,Avudaiyarkoil,AVUDAIYARKOIL,10.0811,79.0404,04-07-1973
258, Meemisal,Pudukkottai,Avudaiyarkoil,MEMISAL SATHIRAMPPATTINAM,9.92174,79.1415,04-07-1973
259, Gandarvakottai,Pudukkottai,Gandarvakottai,KOVILUR,10.5705,79.0058,14-01-1974
260, Annavasal,Pudukkottai,Illupur,ANNAVASAL,10.462,78.702,04-07-1974
261, Illupur,Pudukkottai,Illupur,ILUPPUR,10.5157,78.6169,04-07-1974
262, Kudimiyanmalai,Pudukkottai,Illupur,KUDUMIYANMALAI,10.418,78.658,04-07-1973
263, Karambakudi,Pudukkottai,Karambakudi,KARAMBAKKUDI,10.3948,79.0299,14-01-1974
264, Malaiyur,Pudukkottai,Karambakudi,MALAIYUR,10.4311,79.0235,14-01-1974
265, Keeranur,Pudukkottai,Kulathur,KEERANUR,10.5724,78.7893,04-07-1973
266, UDAYALIPATTI,Pudukkottai,Kulathur,UDAIYALIPATTI,10.584,78.8954,04-07-1973
267, Manamelkudi,Pudukkottai,Manamelkudi,MANAMELKUDI,10.0385,79.2323,04-07-1973
268, Karaiyur,Pudukkottai,Ponnamaravathi,KARAIYUR,10.37,78.6037,14-01-1974
269, Ponnamaravathi,Pudukkottai,Ponnamaravathi,PONNAMARAVATHI WEST,10.2715,78.5372,14-01-1974
270, Perungalur,Pudukkottai,Pudukkottai,PERUNGALUR,10.4875,78.9345,14-01-1974
271, Adanakottai,Pudukkottai,Pudukkottai,PUDUKKOTTAI - NORTH,10.5194,78.9564,14-01-1974
272, Pudukkottai,Pudukkottai,Pudukkottai,PUDUKKOTTAI - NORTH,10.3797,78.8208,14-01-1974
273, Arimalam,Pudukkottai,Thirumayam,ARIMALAM,10.2647,78.8841,14-01-1974
274, Kilanilai,Pudukkottai,Thirumayam,KAIKULANVAYAL,10.1746,78.9109,14-01-1974
275, THIRUMAYAM,Pudukkottai,Thirumayam,THIRUMAYAM,10.2438,78.746,14-01-1974
276, VIRALIMALAI,Pudukkottai,Viralimalai,VIRALIMALAI,10.6088,78.8966,04-07-1973
277, Kadaladi,Ramanathapuram,Kadaladi,KADALADI,9.2294,78.49,0000-00-00
278, Vallinokam,Ramanathapuram,Kadaladi,VALINOKKAM,9.1824,78.6289,0000-00-00
279, Kamuthi,Ramanathapuram,Kamuthi,KAMUTHI,9.41382,78.3763,0000-00-00
280, Pallamorkulam,Ramanathapuram,Keelakarai,KANJIRANGUDI,9.2656,78.8063,0000-00-00
281, Mudukulathur,Ramanathapuram,Mudukulathur,KILA MUDUKULATHUR,9.35,78.5166,0000-00-00
282, Paramakudi,Ramanathapuram,Paramakudi,KATTUPARAMAKUDI,9.542,78.5957,0000-00-00
283, R.S.Mangalam,Ramanathapuram,Rajasingamangalam,RAJASINGAMANGALAM,9.635,78.8494,0000-00-00
284, Mandapam,Ramanathapuram,Ramanathapuram,MANDAPAM,9.2741,79.119,0000-00-00
285, Ramanathapuram,Ramanathapuram,Ramanathapuram,RAJASURIAMADAI,9.36368,78.8308,12-11-1976
286, pamban,Ramanathapuram,Rameswaram,PAMBAN,9.28169,79.2089,0000-00-00
287, Thangachimadam,Ramanathapuram,Rameswaram,PAMBAN,9.2833,79.2375,0000-00-00
288, Rameswaram,Ramanathapuram,Rameswaram,RAMESWARAM,9.28653,79.2974,0000-00-00
289, Thondi,Ramanathapuram,Thiruvadani,THONDI,9.74619,78.9561,15-06-1959
290, Tiruvadani,Ramanathapuram,Thiruvadani,TIRUVADANAI,9.78186,78.9188,0000-00-00
291, Theerthandathanam,Ramanathapuram,Thiruvadani,VATTANAM,9.83448,79.0653,0000-00-00
292, Vattanam,Ramanathapuram,Thiruvadani,VATTANAM,9.82983,79.0661,15-06-1959
293, Arakkonam,Ranipet,Arakkonam,Arakkonam,13.0917,79.6597,01-01-1980
294, Minnal,Ranipet,Arakkonam,Minnal,13.0751,79.5558,07-11-2022
295, Arcot,Ranipet,Arcot,Arcot,12.9028,79.3372,01-01-2001
296, Kalavai PWD,Ranipet,Kalavai,Kalavai,12.773,79.4168,15-07-2020
297, Kaveripakkam,Ranipet,Nemili,Kaveripakkam,12.9051,79.4656,01-07-1962
298, Panapakkam,Ranipet,Nemili,Panappakkam,12.9258,79.5666,07-11-2022
299, Sholingur,Ranipet,Sholingur,Sholinghur,13.1118,79.4309,01-01-1980
300, Ammoor (Walajah Railway Station),Ranipet,Walajah,Ammoor,12.9707,79.36,13-07-2021
301, Palar Anicut,Ranipet,Walajah,Wallajah,12.8838,79.3773,07-11-2022
302, Ranipet,Ranipet,Walajah,Wallajah,12.9279,79.3275,07-11-2022
303, Wallajah,Ranipet,Walajah,Wallajah,12.9271,79.3669,01-01-1980
304, Attur,Salem,Attur,ATTUR,11.6,78.616,21-10-1974
305, Thalaivasal,Salem,Attur,NATHAKKARAI,11.5984,78.7732,07-11-2022
306, Edapadi,Salem,Edappady,IDAPPADI,11.583,77.8347,10-05-1990
307, Gangavalli,Salem,Ganagavalli,GANGAVALLI,11.496,78.6476,06-09-2014
308, Thammampatti,Salem,Ganagavalli,TAMMAMPATTI,11.45,78.5,28-12-2008
309, Veeraganoor,Salem,Ganagavalli,VIRAGANUR,11.4762,78.7386,06-09-2014
310, Danishpet,Salem,Kadayampatti,DANISHPET,11.8585,78.137,18-10-1993
311, Mettur,Salem,Mettur,NAVAPPATTI,11.783,77.8,12-06-1934
312, Omalur,Salem,Omalur,OMALUR,11.75,78.05,01-03-1989
313, TNAU CRI Yethapur,Salem,Pethanaickenpalayam,ETTAPUR,11.652,78.468,31-10-2001
314, Kariyakovil Dam,Salem,Pethanaickenpalayam,KARIYAKOVILVALAVU,11.775,78.569,01-05-1993
315, Salem,Salem,Salem,SALEM TOWN,11.65,78.166,1889-11-01
316, sankaridurg,Salem,Sankari,SANKAGIRI,11.466,77.866,20-08-1995
317, Anaimaduvu Dam,Salem,Valapady,PULUDIKKUTTAI,11.773,78.4267,01-01-1984
318, Valappady,Salem,Valapady,SARKAR VALAPADI,11.666,78.4,01-01-2008
319, Yercaud,Salem,Yercaud,YERCADU,11.4638,78.125,28-11-1999
320, Devakottai,Sivagangai,Devakottai,IRAVUSERI,9.96428,78.8024,21-11-2019
321, Ilayangudi,Sivagangai,Ilayankudi,ILAYANKUDI NORTH,9.62914,78.6174,21-11-2019
322, PWD Travellers Bungalow,Sivagangai,Kalaiyarkovil,KAKULAM,9.84679,78.6345,07-11-2022
323, Karaikudi,Sivagangai,Karaikudi,SAKKOTTAI,10.0756,78.7789,21-11-2019
324, Manamadurai,Sivagangai,Manamadurai,SEIKALATHUR,9.71422,78.4645,21-11-2019
325, AEE(WRD) Office Singampunari,Sivagangai,Singampunari,SINGAMPUNARI NORTH,10.1812,78.4309,07-11-2022
326, Sivagangai,Sivagangai,Sivagangai,KOTTAGUDI,9.8555,78.4872,07-12-2019
327, Thiruppathur,Sivagangai,Thirupattur,THIRUPPATHUR,10.1125,78.596,21-11-2019
328, Thiruppuvanam,Sivagangai,Thiruppuvanam,THIRUPPUVANAM PUDUR,9.77424,78.3022,21-11-2019
329, Ayikudi,Tenkasi,Kadayanallur,AYIKUDI,9.00053,77.2043,07-01-1988
330, Karuppanadhi Dam section,Tenkasi,Kadayanallur,KRISHNAPURAM,9.1463,77.3102,08-11-2022
331, Sankarankovil,Tenkasi,Sankarankovil,SANKARANKOVIL,9.16655,77.5365,10-12-1964
332, Adavinainarkoil Dam,Tenkasi,Shencottai,Mekkarai,9.0855,77.2306,08-11-2022
333, Gundar dam,Tenkasi,Shencottai,Sengottai Keelur,8.96988,77.2991,08-11-2022
334, Shencottai,Tenkasi,Shencottai,Sengottai Town,8.97552,77.2499,22-11-1956
335, Sivagiri,Tenkasi,Sivagiri,VISWANATHAPERI - PART-1,9.34648,77.4338,01-01-1985
336, Ramanadhi Dam Section,Tenkasi,Tenkasi,Mela kadaiyam,8.8463,77.3275,08-11-2022
337, Gadana dam Section,Tenkasi,Tenkasi,Sivasailam,8.7991,77.3105,08-11-2022
338, Tenkasi,Tenkasi,Tenkasi,Tenkasi,8.96477,77.3044,01-01-1985
347, Adirampatnam,Thanjavur,Pattukottai,ADIRAMPATTINAM,10.3413,79.3796,01-02-1984
345, Ayyampettai,Thanjavur,Papanasam,AYYAMPETTAI,10.8976,79.1981,01-02-1983
339, Budalur,Thanjavur,Budalur,BUDALUR,10.7968,78.9769,01-02-1983
350, Echanviduthi,Thanjavur,Pattukottai,SERUVAVIDUTHI NORTH,10.3413,79.1929,02-01-1984
341, Grand Anaicut,Thanjavur,Budalur,THOGUR,10.8283,78.8205,15-06-1939
352, Kurungulam,Thanjavur,Thanjavur,KURUNKULAM WEST,10.6527,79.101,10-02-1979
358, Lower Anaicut,Thanjavur,Thiruvidaimaruthur,VINAYAKAN STREET,11.143,79.4507,18-03-1994
348, Madukkur,Thanjavur,Pattukottai,MADUKKUR SOUTH,10.4786,79.3976,02-08-1947
356, Manjalaru,Thanjavur,Thiruvidaimaruthur,SATHANUR,11.0096,79.5049,26-01-1981
